Days,أيام,
Hours,ساعات,
Leave Duration,مدة الإجازة,
Full Scheduled Hours,كامل ساعات العمل المجدولة,
Partial Hours,ساعات جزئية,
Requested Hours,الساعات المطلوبة,
Leave amount,مقدار الإجازة,
Return to work,العودة إلى العمل,
"{0} hours","{0} ساعة",
"{0} days","{0} يوم",
"{0} calendar day(s), {1} holiday/non-working day(s) excluded · {2}","{0} يوم تقويمي، تم استبعاد {1} يوم عطلة/غير عمل · {2}",
Sending…,جارٍ الإرسال…,
Selecting your leave allocation and approver…,جارٍ اختيار رصيد الإجازة والمعتمد…,
VALIDATING…,جارٍ التحقق…,
Checking GPS accuracy and branch geofence…,جارٍ التحقق من دقة GPS ونطاق الفرع…,
Install Attendance App,تثبيت تطبيق الحضور,
Install on iPhone,التثبيت على آيفون,
Tap the Share button in Safari then choose Add to Home Screen.,اضغط زر المشاركة في سفاري ثم اختر إضافة إلى الشاشة الرئيسية.,
You are logged out. Please login again.,تم تسجيل خروجك. يرجى تسجيل الدخول مرة أخرى.,
TIME OFF,الإجازات,
Request,طلب,
Recent Leave Requests,طلبات الإجازة الأخيرة,
Leave Balance,رصيد الإجازات,
LEAVE APPLICATION,طلب إجازة,
App Language,لغة التطبيق,
English / العربية,العربية / English,
Appearance,المظهر,
Light / Dark,فاتح / داكن,
Light mode,الوضع الفاتح,
Dark mode,الوضع الداكن,
Employee Details,بيانات الموظف,
Employee Name,اسم الموظف,
Gender,الجنس,
Male,ذكر,
Female,أنثى,
Date of Birth,تاريخ الميلاد,
Date of Joining,تاريخ الالتحاق,
Employment Type,نوع التوظيف,
Full-time,دوام كامل,
Part-time,دوام جزئي,
Company Information,معلومات الشركة,
Company,الشركة,
Department,القسم,
Designation,المسمى الوظيفي,
Grade,الدرجة,
Reports To,المدير المباشر,
Holiday List,قائمة العطل,
Contact Information,معلومات الاتصال,
Phone,الهاتف,
Personal Email,البريد الإلكتروني الشخصي,
Company Email,البريد الإلكتروني للشركة,
Preferred Contact Email,بريد التواصل المفضل,
Salary Information,معلومات الراتب,
Latest Period,آخر فترة,
Gross Pay,إجمالي الراتب,
Deductions,الاقتطاعات,
Net Pay,صافي الراتب,
SERVER TIME,وقت الخادم,
All,الكل,
Present,حاضر,
Absent,غائب,
Abnormal,غير طبيعي,
Show,عرض,
From,من,
To,إلى,
Choose a period to see your attendance,اختر فترة لعرض الحضور,
LEAVE WORKFLOW,مسار موافقات الإجازة,
Approvals,الموافقات,
PAYROLL,الرواتب,
EMPLOYEE,الموظف,
Protected employee access,وصول آمن للموظف,
Secure employee self service,خدمة ذاتية آمنة للموظف,
"Sign in to manage attendance, leave and salary securely.","سجّل الدخول لإدارة الحضور والإجازات والراتب بأمان.",
Enter your email or username,أدخل البريد الإلكتروني أو اسم المستخدم,
Enter your password,أدخل كلمة المرور,
EMPLOYEE UPDATES,تحديثات الموظف,
Announcements,الإعلانات,
Updates,التحديثات,
Archived,المؤرشفة,
Enable locked-screen notifications,تفعيل إشعارات شاشة القفل,
ATTENDANCE RECORD,سجل الحضور,
Attendance Details,تفاصيل الحضور,
Working Hours,ساعات العمل,
Punches,سجلات الدخول والخروج,
Correction Requests,طلبات تصحيح الحضور,
Request Correction,طلب تصحيح,
ATTENDANCE CORRECTION,تصحيح الحضور,
Correction Type,نوع التصحيح,
Missing Check In,دخول مفقود,
Missing Check Out,خروج مفقود,
Wrong Check In,وقت دخول خاطئ,
Wrong Check Out,وقت خروج خاطئ,
Requested Check In,وقت الدخول المطلوب,
Requested Check Out,وقت الخروج المطلوب,
Submit for Approval,إرسال للموافقة,
Approval Progress,مسار الموافقات,
Status,الحالة,
Dates,التواريخ,
Amount,المقدار,
Approved,موافق عليه,
Rejected,مرفوض,
Pending Approver Approval,بانتظار موافقة المعتمد,
Pending HR Approval,بانتظار موافقة الموارد البشرية,
Used,مستخدم,
Allocated,مخصص,
remaining,متبقي,
days,أيام,
Switching…,جارٍ التبديل…,
Tap to view your balances,اضغط لعرض أرصدة الإجازات,
Loading leave requests…,جارٍ تحميل طلبات الإجازة…,
Loading notifications…,جارٍ تحميل الإشعارات…,
Loading requests…,جارٍ تحميل الطلبات…,
Loading salary slips…,جارٍ تحميل قسائم الراتب…,
Loading available leave types…,جارٍ تحميل أنواع الإجازات المتاحة…,
Loading Employee HR Portal,جارٍ تحميل بوابة الموظف للموارد البشرية,
Loading…,جارٍ التحميل…,
Leave Type,نوع الإجازة,
Leave Request,طلب إجازة,
"Choose an available leave type, dates and reason. The leave unit and approver are selected from your employee setup.","اختر نوع الإجازة المتاح والتواريخ والسبب. يتم تحديد وحدة الإجازة والمعتمد من إعدادات الموظف.",
Approve,موافقة,
Reject,رفض,
Cancel,إلغاء,
Close,إغلاق,
Remarks,ملاحظات,
Approval note,ملاحظة الموافقة,
Other,أخرى,
OK,حسناً,
Attendance Correction,تصحيح الحضور,
CORRECTION WORKFLOW,مسار تصحيح الحضور,
A note is required when HR bypasses employee approvers.,يجب إدخال ملاحظة عند تجاوز الموارد البشرية لمراحل اعتماد الموظف.,
"Attendance, leave, salary and profile in one simple app.","الحضور والإجازات والراتب والملف الشخصي في تطبيق واحد بسيط.",
Employee portal sections,أقسام بوابة الموظف,
Install app,تثبيت التطبيق,
Install on iPhone or iPad,التثبيت على آيفون أو آيباد,
"In Safari, tap Share and then Add to Home Screen.","في سفاري اضغط مشاركة ثم اختر إضافة إلى الشاشة الرئيسية.",
Powered by Avraham,بدعم من Avraham,
Location status,حالة الموقع,
Show password,إظهار كلمة المرور,
